,exp_id,agent_id,env_name,exp_seed,num_episodes,policy_seed,K,policy_id,dir_policy_id,episode_returns_mean,episode_returns_std,episode_returns_max,episode_returns_min,episode_steps_mean,episode_steps_std,episode_times_mean,episode_times_std,episode_dones,num_outcome_LOSS,num_outcome_DRAW,num_outcome_WIN,num_outcome_NA
38,442,0,Driving7x7RoundAbout-n2-v0,0,1000,2,-1,uniform_random-v0,pi_-1,-1.04255,0.343142823762934,0.95,-1.95,47.874,9.28289416076689,0.116731819629669,0.47450907439507,1,52,0,7,941
40,103,0,Driving7x7RoundAbout-n2-v0,0,1000,0,-1,uniform_random-v0,pi_-1,-1.033,0.335732036004907,1.05,-1.95,47.598,10.0641142680317,0.121316991090775,0.507907842531387,1,52,0,6,942
44,397,0,Driving7x7RoundAbout-n2-v0,0,1000,1,-1,uniform_random-v0,pi_-1,-1.01505,0.349972852518591,1.05,-2.35,47.586,10.1019109083381,0.12180859708786,0.502995382207329,1,57,0,9,934
48,98,0,Driving7x7RoundAbout-n2-v0,0,1000,0,-1,uniform_random-v0,pi_-1,-1.12505,0.367518703605681,1.5,-2.35,39.378,16.7717356287297,0.039299500226974,0.39641867088507,1,322,0,5,673
49,98,1,Driving7x7RoundAbout-n2-v0,0,1000,2,-1,uniform_random-v0,pi_-1,-1.1103,0.34815070012855,0.7,-2.7,39.378,16.7717356287297,0.039299500226974,0.39641867088507,1,322,0,2,676
53,84,1,Driving7x7RoundAbout-n2-v0,0,1000,1,-1,uniform_random-v0,pi_-1,-1.01985,0.358780542253897,1,-2.1,47.717,9.59869319230488,0.118263161659241,0.480835228223303,1,58,0,9,933
62,246,0,Driving7x7RoundAbout-n2-v0,0,1000,1,-1,uniform_random-v0,pi_-1,-1.0407,0.329504946852092,1.35,-2.05,47.837,9.51727014432185,0.117495219707489,0.487227222498913,1,50,0,3,947
76,593,0,Driving7x7RoundAbout-n2-v0,0,1000,3,-1,uniform_random-v0,pi_-1,-1.04715,0.316590235951775,0.85,-2,46.214,12.1648758316721,0.119828305482864,0.514675319979058,1,94,0,2,904
79,553,1,Driving7x7RoundAbout-n2-v0,0,1000,4,-1,uniform_random-v0,pi_-1,-1.0495,0.315308975451064,0.6,-2.1,45.98,12.5521950271656,0.118803847789764,0.495299592345549,1,99,0,1,900
98,0,0,Driving7x7RoundAbout-n2-v0,0,1000,0,-1,uniform_random-v0,pi_-1,-1.09275,0.422249851983397,1.25,-2.4,39.984,16.2019672879561,0.049006637096405,0.46942622958208,1,316,0,15,669
