,exp_id,agent_id,env_name,policy_id,exp_seed,num_episodes,time_limit,episode_return_mean,episode_return_std,episode_return_max,episode_return_min,episode_steps_mean,episode_steps_std,episode_time_mean,episode_time_std,num_episode_done,num_LOSS,num_DRAW,num_WIN,num_NA
0,1264,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed4_i0-v0,0,2,None,-0.8761061946902655,0.0,-0.8761061946902655,-0.8761061946902655,5.5,0.5,0.0126572847366333,0.0009940862655639,2,2,0,0,0
1,1264,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed0_i1-v0,0,2,None,0.8761061946902655,0.0,0.8761061946902655,0.8761061946902655,5.5,0.5,0.0126572847366333,0.0009940862655639,2,0,0,2,0
2,519,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k1_seed2_i0-v0,0,2,None,-0.8584070796460177,0.0176991150442478,-0.8407079646017699,-0.8761061946902655,7.0,0.0,0.0171679258346557,0.0004431009292602,2,2,0,0,0
3,519,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k2_seed2_i1-v0,0,2,None,0.8584070796460177,0.0176991150442478,0.8761061946902655,0.8407079646017699,7.0,0.0,0.0171679258346557,0.0004431009292602,2,0,0,2,0
4,176,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k3_seed0_i0-v0,0,2,None,-0.8672566371681416,0.0,-0.8672566371681416,-0.8672566371681416,3.5,0.5,0.0081859827041625,0.0013777017593383,2,2,0,0,0
5,176,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed1_i1-v0,0,2,None,0.8672566371681416,0.0,0.8672566371681416,0.8672566371681416,3.5,0.5,0.0081859827041625,0.0013777017593383,2,0,0,2,0
6,1159,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/sp_seed1_i0-v0,0,2,None,-0.8539823008849557,0.0044247787610619,-0.8495575221238938,-0.8584070796460177,7.5,3.5,0.0185651779174804,0.0087008476257324,2,2,0,0,0
7,1159,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klr_k0_seed1_i1-v0,0,2,None,0.8539823008849557,0.0044247787610619,0.8584070796460177,0.8495575221238938,7.5,3.5,0.0185651779174804,0.0087008476257324,2,0,0,2,0
8,216,0,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/klrbr_k4_seed0_i0-v0,0,2,None,0.0398230088495574,0.9247787610619468,0.9646017699115044,-0.8849557522123894,8.0,3.0,0.0104250907897949,0.0035748481750488,2,1,0,1,0
9,216,1,PursuitEvasion8x8-v0,PursuitEvasion8x8-v0/shortestpath-v0,0,2,None,-0.0398230088495574,0.9247787610619468,0.8849557522123894,-0.9646017699115044,8.0,3.0,0.0104250907897949,0.0035748481750488,2,1,0,1,0
